Country,Year,Sex,Age group,Sum of Obesity (Prevalence of BMI>2SD),Sum of Overweight (Prevalence of BMI>1SD),Sum of Underweight (Prevalence of BMI<minus1SD),Sum of GDP per Capita,Sum of Government Expenditure,Sum of Death due to illness / nutrition condition,Sum of Population
China,2000,Boys,5,0.046615529,0.12876913,0.20100947,,,126.73211005623116,28145415570.313015
China,2000,Girls,5,0.025876899,0.091915622,0.22809991,,,126.73211005623116,28145415570.313015
China,2000,Boys,6,0.049968645,0.124546547,0.219105104,,,126.73211005623116,28145415570.313015
China,2000,Girls,6,0.025680775,0.090810234,0.234731342,,,126.73211005623116,28145415570.313015
China,2000,Boys,7,0.051882073,0.128342398,0.235274522,,,126.73211005623116,28145415570.313015
China,2000,Girls,7,0.02464502,0.091669881,0.255392415,,,126.73211005623116,28145415570.313015
China,2000,Boys,8,0.051515718,0.13524614,0.249755127,,,126.73211005623116,28145415570.313015
China,2000,Girls,8,0.022555671,0.092521188,0.283318538,,,126.73211005623116,28145415570.313015
China,2000,Boys,9,0.048309888,0.140775477,0.262557567,,,126.73211005623116,28145415570.313015
China,2000,Girls,9,0.019500484,0.09178264,0.309408231,,,126.73211005623116,28145415570.313015
China,2000,Boys,10,0.042198883,0.139856479,0.273531378,,,126.73211005623116,28145415570.313015
China,2000,Girls,10,0.015808498,0.08825621,0.322125332,,,126.73211005623116,28145415570.313015
China,2000,Boys,11,0.034305404,0.131128842,0.282370628,,,126.73211005623116,28145415570.313015
China,2000,Girls,11,0.012087203,0.082219477,0.317068641,,,126.73211005623116,28145415570.313015
China,2000,Boys,12,0.026344219,0.117592742,0.288778193,,,126.73211005623116,28145415570.313015
China,2000,Girls,12,0.008896535,0.074981589,0.299021269,,,126.73211005623116,28145415570.313015
China,2000,Boys,13,0.019460518,0.102270192,0.292704351,,,126.73211005623116,28145415570.313015
China,2000,Girls,13,0.00645795,0.067529307,0.274076036,,,126.73211005623116,28145415570.313015
China,2000,Boys,14,0.01412999,0.087463104,0.294383083,,,126.73211005623116,28145415570.313015
China,2000,Girls,14,0.004758466,0.060578017,0.248049953,,,126.73211005623116,28145415570.313015
China,2000,Boys,15,0.010341656,0.074616571,0.294278094,,,126.73211005623116,28145415570.313015
China,2000,Girls,15,0.003680085,0.054659209,0.225546238,,,126.73211005623116,28145415570.313015
China,2000,Boys,16,0.007855285,0.064491934,0.293012142,,,126.73211005623116,28145415570.313015
China,2000,Girls,16,0.003101467,0.050197817,0.209727162,,,126.73211005623116,28145415570.313015
China,2000,Boys,17,0.006408718,0.057489939,0.29136125,,,126.73211005623116,28145415570.313015
China,2000,Girls,17,0.002968881,0.047634365,0.202900875,,,126.73211005623116,28145415570.313015
China,2000,Boys,18,0.005794252,0.054452241,0.289551811,,,126.73211005623116,28145415570.313015
China,2000,Girls,18,0.003285782,0.047353349,0.206849237,,,126.73211005623116,28145415570.313015
China,2000,Boys,19,0.006563938,0.075462794,0.278018985,,,126.73211005623116,28145415570.313015
China,2000,Girls,19,0.003342413,0.050042317,0.215315982,,,126.73211005623116,28145415570.313015
China,2001,Boys,5,0.052232504,0.140520769,0.195629979,,,126.73211005623116,28145415570.313015
China,2001,Girls,5,0.029017257,0.098998206,0.224346545,,,126.73211005623116,28145415570.313015
China,2001,Boys,6,0.055956392,0.136301118,0.213449023,,,126.73211005623116,28145415570.313015
China,2001,Girls,6,0.028818635,0.097874893,0.230920581,,,126.73211005623116,28145415570.313015
China,2001,Boys,7,0.058075706,0.140437575,0.229297693,,,126.73211005623116,28145415570.313015
China,2001,Girls,7,0.027691709,0.09875922,0.251395111,,,126.73211005623116,28145415570.313015
China,2001,Boys,8,0.057692779,0.147755552,0.243457572,,,126.73211005623116,28145415570.313015
China,2001,Girls,8,0.02539855,0.099574462,0.279112169,,,126.73211005623116,28145415570.313015
China,2001,Boys,9,0.054200979,0.15350492,0.256015672,,,126.73211005623116,28145415570.313015
China,2001,Girls,9,0.022027108,0.098659459,0.305080151,,,126.73211005623116,28145415570.313015
China,2001,Boys,10,0.04751859,0.152351335,0.266917513,,,126.73211005623116,28145415570.313015
China,2001,Girls,10,0.017932317,0.094772504,0.317844163,,,126.73211005623116,28145415570.313015
China,2001,Boys,11,0.038843104,0.142891861,0.275885673,,,126.73211005623116,28145415570.313015
China,2001,Girls,11,0.013781931,0.088232952,0.312983838,,,126.73211005623116,28145415570.313015
China,2001,Boys,12,0.030029923,0.128300444,0.282565227,,,126.73211005623116,28145415570.313015
